BioSample Accession	Isolate Name
SAMN05220841	20151515
SAMN05220842	20151517
SAMN05220843	20151518
SAMN05220844	20151520
SAMN05220845	20151617
SAMN05220846	20151618
SAMN05220847	20151619
SAMN05220848	20151620
SAMN05220849	20151621
SAMN05220850	20151622
SAMN05220851	20151623
SAMN05220852	20151624
SAMN05220853	20151626
SAMN05220854	20151631
SAMN05220855	20151632
SAMN05220856	20151633
SAMN05220857	20151634
SAMN05220858	20151636
SAMN05220859	20151637
SAMN05220860	20151638
SAMN05220861	20151639
SAMN05220862	20151640
SAMN05220863	20151641
SAMN05220864	20151642
SAMN05220865	20151885
SAMN05220866	20151886
SAMN05220867	20151887
SAMN05220868	20151888
SAMN05220869	20151889
SAMN05220870	20151890
SAMN05220871	20151891
SAMN05220872	20151892
SAMN05220873	20151893
SAMN05220874	20151894
SAMN05220875	20151895
SAMN05220876	20151896
SAMN05220877	20151897
SAMN05220878	20151898
SAMN05220879	20151899
SAMN05220880	20151900
SAMN05220881	20151901
SAMN05220882	20152129
SAMN05220883	20152130
SAMN05220884	20152131
SAMN05220885	20152132
SAMN05220886	20152133
SAMN05220887	20152134
SAMN05220888	20152151
SAMN05220889	20152152
SAMN05220890	20152153
SAMN05220891	20152154
SAMN05220892	20152156
SAMN05220893	20152157
SAMN05220894	20152158
SAMN05220895	20152159
SAMN05220896	20152160
SAMN05220897	20152190
SAMN05220898	20152191
SAMN05220899	20152192
SAMN05220900	20152193
SAMN05220901	20152194
SAMN05220902	20152204
SAMN05220903	20152206
SAMN05220904	20152208
SAMN05220905	20152209
SAMN05220906	20152210
SAMN05220907	20152214
SAMN05220908	20152216
SAMN05220909	20152217
SAMN05220910	20152218
SAMN05220911	20152219
SAMN05220912	20152220
SAMN05220913	20152222
SAMN05220914	20152223
SAMN05220915	20152224
SAMN05220916	20152239
SAMN05220917	20152240
SAMN05220918	20152241
SAMN05220919	20152242
SAMN05220920	20152243
SAMN05220921	20152244
SAMN05220922	20152245
SAMN05220923	20152246
SAMN05220924	20152247
SAMN05220925	20152248
SAMN05220926	20152249
SAMN05220927	20152250
SAMN05220928	20152251
SAMN05220929	20152252
SAMN05220930	20152253
SAMN05220931	20152254
SAMN05220932	20152255
SAMN05220933	20152256
SAMN05220934	20152257
SAMN05220935	20152258
SAMN05220936	20152259
SAMN05220937	20152260
SAMN05220938	20152261
SAMN05220939	20152262
SAMN05220940	20152263
SAMN05220941	20152264
SAMN05220942	20152265
SAMN05220943	20152266
SAMN05220944	20152267
SAMN05220945	20152268
SAMN05220946	20152269
SAMN05220947	20152270
SAMN05220948	20152271
SAMN05220949	20152272
SAMN05220950	20152273
SAMN05220951	20152274
SAMN05220952	20152275
SAMN05220953	20152276
SAMN05220954	20152277
SAMN05220955	20152278
SAMN05220956	20152422
SAMN05220957	20152423
SAMN05220958	20152424
SAMN05220959	20152425
SAMN05220960	20152426
SAMN05220961	20152427
SAMN05220962	20152428
SAMN05220963	20152429
SAMN05220964	20152430
SAMN05220965	20152431
SAMN05220966	20152432
SAMN05220967	20152433
SAMN05220968	20152434
SAMN05220969	20152435
SAMN05220970	20152627
SAMN05220971	20152628
SAMN05220972	20152629
SAMN05220973	20152630
SAMN05220974	20152631
SAMN05220975	20152632
SAMN05220976	20152633
SAMN05220977	20152634
SAMN05220978	20152635
SAMN05220979	20152638
SAMN05220980	20152639
SAMN05220981	20152641
SAMN05220982	20152643
SAMN05220983	20152644
SAMN05220984	20152645
SAMN05220985	20152646
SAMN05220986	20152647
SAMN05220987	20152648
SAMN05220988	20152649
SAMN05220989	20152650
SAMN05220990	20152651
SAMN05220991	20152652
SAMN05220992	20152653
SAMN05220993	20152654
SAMN05220994	20152655
SAMN05220995	20152656
SAMN05220996	20152658
SAMN05220997	20152662
SAMN05220998	20152663
SAMN05220999	20152664
SAMN05221000	20152665
SAMN05221001	20152666
SAMN05221002	20152668
SAMN05221003	20152669
SAMN05221004	20152670
SAMN05221005	20152672
SAMN05221006	20152673
SAMN05221007	20152675
SAMN05221008	20152676
SAMN05221009	20152677
SAMN05221010	20152678
SAMN05221011	20152679
SAMN05221012	20152680
SAMN05221013	20152681
SAMN05221014	20152682
SAMN05221015	20152683
SAMN05221016	20152685
SAMN05221017	20152687
SAMN05221018	20152691
SAMN05221019	20152692
SAMN05221020	20152694
SAMN05221021	20152695
SAMN05221022	20152697
SAMN05221023	20152698
SAMN05221024	20152699
SAMN05221025	20152700
SAMN05221026	20152701
SAMN05221027	20152702
SAMN05221028	20152704
SAMN05221029	20152705
SAMN05221030	20152706
SAMN05221031	20152707
SAMN05221032	20152708
SAMN05221033	20152709
SAMN05221034	20152710
SAMN05221035	20152711
SAMN05221036	20152712
SAMN05221037	20152713
SAMN05221038	20152714
SAMN05221039	20152715
SAMN05221040	20152716
SAMN05221041	20152717
SAMN05221042	20152718
SAMN05221043	20152719
SAMN05221044	20152720
SAMN05221045	20152721
SAMN05221046	20152722
SAMN05221047	20152723
SAMN05221048	20152724
SAMN05221049	20152725
SAMN05221050	20152726
SAMN05221051	20152727
SAMN05221052	20152803
SAMN05221053	20152804
SAMN05221054	20152805
SAMN05221055	20152806
SAMN05221056	20152807
SAMN05221057	20152808
SAMN05221058	20152809
SAMN05221059	20152810
SAMN05221060	20152811
SAMN05221061	20152812
SAMN05221062	20152813
SAMN05221063	20152814
SAMN05221064	20152815
SAMN05221065	20152816
SAMN05221066	20152817
SAMN05221067	20152818
SAMN05221068	20152819
SAMN05221069	20152820
SAMN05221070	20152821
SAMN05221071	20152822
SAMN05221072	20152823
SAMN05221073	20152824
SAMN05221074	20152825
SAMN05221075	20152826
SAMN05221076	20152828
SAMN05221077	20152829
SAMN05221078	20152830
SAMN05221079	20152831
SAMN05221080	20152832
SAMN05221081	20152877
SAMN05221082	20152878
SAMN05221083	20152879
SAMN05221084	20152880
SAMN05221085	20152881
SAMN05221086	20152882
SAMN05221087	20152884
SAMN05221088	20152885
SAMN05221089	20152886
SAMN05221090	20152887
SAMN05221091	20152888
SAMN05221092	20152889
SAMN05221093	20152890
SAMN05221094	20152891
SAMN05221095	20152892
SAMN05221096	20152893
SAMN05221097	20152894
SAMN05221098	20152895
SAMN05221099	20152896
SAMN05221100	20152897
SAMN05221101	20152898
SAMN05221102	20152899
SAMN05221103	20152900
SAMN05221104	20152901
SAMN05221105	20152902
SAMN05221106	20152903
SAMN05221107	20152904
SAMN05221108	20152905
SAMN05221109	20152906
SAMN05221110	20152907
SAMN05221111	20152908
SAMN05221112	20152909
SAMN05221113	20152910
SAMN05221114	20152911
SAMN05221115	20152912
SAMN05221116	20152913
SAMN05221117	20152916
SAMN05221118	20152917
SAMN05221119	20152918
SAMN05221120	20152919
SAMN05221121	20152920
SAMN05221122	20152921
SAMN05221123	20152922
SAMN05221124	20152923
SAMN05221125	20152948
SAMN05221126	20152949
SAMN05221127	20152950
SAMN05221128	20152951
SAMN05221129	20152952
SAMN05221130	20152953
SAMN05221131	20152954
SAMN05221132	20152955
SAMN05221133	20152956
SAMN05221134	20152957
SAMN05221135	20152958
SAMN05221136	20152959
SAMN05221137	20152960
SAMN05221138	20152961
SAMN05221139	20152962
SAMN05221140	20152963
SAMN05221141	20152964
SAMN05221142	20152965
SAMN05221143	20152966
SAMN05221144	20152968
SAMN05221145	20152969
SAMN05221146	20152970
SAMN05221147	20152998
SAMN05221148	20152999
SAMN05221149	20153000
SAMN05221150	20153001
SAMN05221151	20153002
SAMN05221152	20153003
SAMN05221153	20153004
SAMN05221154	20153005
SAMN05221155	20153006
SAMN05221156	20153007
SAMN05221157	20153008
SAMN05221158	20153009
SAMN05221159	20153010
SAMN05221160	20153011
SAMN05221161	20153012
SAMN05221162	20153013
SAMN05221163	20153014
SAMN05221164	20153015
SAMN05221165	20153016
SAMN05221166	20153017
SAMN05221167	20153018
SAMN05221168	20153019
SAMN05221169	20153020
SAMN05221170	20153021
SAMN05221171	20153022
SAMN05221172	20153023
SAMN05221173	20153024
SAMN05221174	20153025
SAMN05221175	20153026
SAMN05221176	20153027
SAMN05221177	20153028
SAMN05221178	20153030
SAMN05221179	20153031
SAMN05221180	20153032
SAMN05221181	20153033
SAMN05221182	20153035
SAMN05221183	20153036
SAMN05221184	20153037
SAMN05221185	20153038
SAMN05221186	20153039
SAMN05221187	20153126
SAMN05221188	20153128
SAMN05221189	20153129
SAMN05221190	20153130
SAMN05221191	20153131
SAMN05221192	20153132
SAMN05221193	20153135
SAMN05221194	20153136
SAMN05221195	20153137
SAMN05221196	20153138
SAMN05221197	20153139
SAMN05221198	20153140
SAMN05221199	20153141
SAMN05221200	20153142
SAMN05221201	20153173
SAMN05221202	20153174
SAMN05221203	20153176
SAMN05221204	20153177
SAMN05221205	20153178
SAMN05221206	20153179
SAMN05221207	20153180
SAMN05221208	20153181
SAMN05221209	20153182
SAMN05221210	20153183
SAMN05221211	20153187
SAMN05221212	20153188
SAMN05221213	20153189
SAMN05221214	20153190
SAMN05221215	20153191
SAMN05221216	20153192
SAMN05221217	20153193
SAMN05221218	20153194
SAMN05221219	20153195
SAMN05221220	20153196
SAMN05221221	20153197
SAMN05221222	20153198
SAMN05221223	20153199
SAMN05221224	20153200
SAMN05221225	20153201
SAMN05221226	20153202
SAMN05221227	20153203
SAMN05221228	20153204
SAMN05221229	20153205
SAMN05221230	20153206
SAMN05221231	20153207
SAMN05221232	20153208
SAMN05221233	20153209
SAMN05221234	20153210
SAMN05221235	20153211
SAMN05221236	20153212
SAMN05221237	20153213
SAMN05221238	20153214
SAMN05221239	20153215
SAMN05221240	20153216
SAMN05221241	20153217
SAMN05221242	20153218
SAMN05221243	20153219
SAMN05221244	20153220
SAMN05221245	20153221
SAMN05221246	20153222
SAMN05221247	20153223
SAMN05221248	20153224
SAMN05221249	20153225
SAMN05221250	20153226
SAMN05221251	20153227
SAMN05221252	20153228
SAMN05221253	20153229
SAMN05221254	20153230
SAMN05221255	20153231
SAMN05221256	20153232
SAMN05221257	20153233
SAMN05221258	20153234
SAMN05221259	20153235
SAMN05221260	20153236
SAMN05221261	20153237
SAMN05221262	20153238
SAMN05221263	20153239
SAMN05221264	20153240
SAMN05221265	20153241
SAMN05221266	20153242
SAMN05221267	20153244
SAMN05221268	20153245
SAMN05221269	20153246
SAMN05221270	20153247
SAMN05221271	20153248
SAMN05221272	20153249
SAMN05221273	20153250
SAMN05221274	20153251
SAMN05221275	20153252
SAMN05221276	20153253
SAMN05221277	20153254
SAMN05221278	20153256
SAMN05221279	20153257
SAMN05221280	20153258
SAMN05221281	20153259
SAMN05221282	20153260
SAMN05221283	20153261
SAMN05221284	20153262
