Short_Isolate_name	Agly	Bla	Fos	Flq	Gly	MLS	Phe	Rif	Sul	Tet	Tmt
20459y09						MsrD_296					
20649Y09											
20831y09											
20958Y09											
21045y09											
21063Y09											
21077y09											
21160Y09											
21232y09											
21233y09											
21305Y09											
21313Y09											
21340Y09						MsrD_296					
21359Y09											
21604y09											
21705y09											
21718y09											
21724y09											
21731y09											
21781Y09						MsrD_296					
21878y09											
22006y09											
22143Y09											
22144Y09											
22164y09											
22172y09											
22333y09											
22501y09											
22569y09											
22600y09											
22646y09						MsrD_296					
22700y09											
22740y09											
22758y09											
22811y09						ErmB_841				TetM_831	
22818y09											
22908y09											
22923y09											
22952y09											
23146y09											
23194y09											
23558y09											
23625y09						MsrD_296					
24043y09											
27805Y12											
27895Y12						MsrD_296					
27947Y12						"MsrD_296	 MefA_1210"					
27950Y12											
27967Y12											
27997Y12											
28098Y12											
28128Y12						"MsrD_296	 MefA_1210"					
28141Y12											
28173Y12						"MsrD_296	 MefA_1210"					
28176Y12											
28181Y12											
28262Y12						"MsrD_296	 MefA_1210"					
28270Y12											
28365Y12											
28437Y12						MsrD_296					
28517Y12											
28521Y12											
28577Y12						ErmB_841				TetM_831	
28617Y12											
28623Y12						"MsrD_296	 MefA_1210"					
28654Y12											
28675Y12											
28677Y12											
28716Y12											
28767Y12						MsrD_296					
28820Y12						MsrD_296					
28841Y12											
28854Y12											
28869Y12											
28907Y12											
29028Y12											
29089Y12											
29168Y12											
29197Y12											
29291Y12											
29415Y12						MsrD_296					
29495Y12						MsrD_296					
29513Y12											
29588Y12						MsrD_296					
29591Y12											
29606Y12											
29707Y13											
29744Y13						MsrD_296					
29798Y13											
29881Y12						MsrD_296					
29884Y12											
29899Y13											
29902Y13						MsrD_296					
29946Y13											
29978y13											
30015y13											
30018y13											
30148y13											
30213y13											
30343Y13						MsrD_296					
30350Y13											
30387Y13						MsrD_296					
30392Y13											
30396Y13											
30416Y13											
30423Y13											
30503Y13											
30517Y13											
30574Y13						MsrD_296					
45281y09											
45323y09											
45438y09											
45441y09						MsrD_296					
46445y09											
46916y09											
46977y09											
48151y09											
48623Y09											
48625Y09											
48707y09											
48721y09											
48748Y09											
50048y09											
50997y09											
51035y09											
51057y09											
51067y09											
59310Y12											
59815Y12											
60051Y12						MsrD_296					
60155Y12											
60185Y12											
60299Y12											
61200Y12						MsrD_296					
61232Y12											
61259Y12						MsrD_296					
61266Y12											
61642Y12						MsrD_296					
61960Y12											
61978Y12											
61981Y12											
62149Y12						MsrD_296					
62422Y12											
63056Y12						MsrD_296					
63247Y12						MsrD_296					
63433Y12											
63469Y13											
63953Y13											
63976Y12											
63996Y12											
64022Y12											
64026Y12											
64089Y13											
64311Y13											
64415Y13											
64635y12											
64742y13											
