isolate_id	ENA_accession_no	Binary_phenotype_determined_by_penicillin_MIC	penicillin_MIC(µg/mL)	ceftriaxone_MIC(µg/mL)
SMRU1	ERR039560	SUSCEPTIBLE	<0.06	<0.5
SMRU2	ERR039561	NON-SUSCEPTIBLE	1	0,5
SMRU3	ERR039562	NON-SUSCEPTIBLE	2	0,5
SMRU4	ERR039563	SUSCEPTIBLE	<0.06	<0.5
SMRU5	ERR039564	SUSCEPTIBLE	<0.06	<0.5
SMRU6	ERR039565	SUSCEPTIBLE	<0.06	<0.5
SMRU7	ERR039566	SUSCEPTIBLE	<0.06	<0.5
SMRU8	ERR039567	SUSCEPTIBLE	<0.06	<0.5
SMRU9	ERR039568	NON-SUSCEPTIBLE	0,25	0,5
SMRU10	ERR039569	SUSCEPTIBLE	<0.06	<0.5
SMRU12	ERR039571	SUSCEPTIBLE	<0.06	<0.5
SMRU13	ERR039572	NON-SUSCEPTIBLE	0,125	0,125
SMRU14	ERR039573	SUSCEPTIBLE	<0.06	<0.5
SMRU15	ERR039574	SUSCEPTIBLE	<0.06	<0.5
SMRU16	ERR039575	NON-SUSCEPTIBLE	0,5	0,5
SMRU17	ERR039576	SUSCEPTIBLE	<0.06	<0.5
SMRU18	ERR039577	SUSCEPTIBLE	<0.06	<0.5
SMRU19	ERR039578	SUSCEPTIBLE	<0.06	<0.5
SMRU20	ERR039579	NON-SUSCEPTIBLE	0,5	0,5
SMRU21	ERR039580	SUSCEPTIBLE	<0.06	<0.5
SMRU22	ERR039581	NON-SUSCEPTIBLE	0,5	0,25
SMRU23	ERR039582	NON-SUSCEPTIBLE	0,064	0,064
SMRU24	ERR039583	NON-SUSCEPTIBLE	2	1
SMRU25	ERR039584	NON-SUSCEPTIBLE	0,25	0,125
SMRU26	ERR039585	NON-SUSCEPTIBLE	0,125	0,125
SMRU27	ERR039586	SUSCEPTIBLE	<0.06	<0.5
SMRU28	ERR039587	SUSCEPTIBLE	<0.06	<0.5
SMRU29	ERR039588	SUSCEPTIBLE	<0.06	<0.5
SMRU30	ERR039589	NON-SUSCEPTIBLE	0,125	0,125
SMRU31	ERR039590	SUSCEPTIBLE	<0.06	<0.5
SMRU32	ERR039591	SUSCEPTIBLE	<0.06	<0.5
SMRU33	ERR039592	NON-SUSCEPTIBLE	0,25	0,25
SMRU34	ERR039593	NON-SUSCEPTIBLE	0,064	0,064
SMRU35	ERR039594	NON-SUSCEPTIBLE	0,064	0,25
SMRU36	ERR039595	NON-SUSCEPTIBLE	0,25	0,25
SMRU37	ERR039596	SUSCEPTIBLE	<0.06	<0.5
SMRU38	ERR039597	SUSCEPTIBLE	<0.06	<0.5
SMRU39	ERR039598	SUSCEPTIBLE	<0.06	<0.5
SMRU40	ERR039599	NON-SUSCEPTIBLE	1	1
SMRU41	ERR039600	SUSCEPTIBLE	<0.06	<0.5
SMRU42	ERR039601	NON-SUSCEPTIBLE	0,5	0,5
SMRU43	ERR039602	SUSCEPTIBLE	<0.06	<0.5
SMRU44	ERR039603	NON-SUSCEPTIBLE	0,5	0,125
SMRU45	ERR039604	SUSCEPTIBLE	<0.06	<0.5
SMRU46	ERR039605	SUSCEPTIBLE	<0.06	<0.5
SMRU47	ERR039606	SUSCEPTIBLE	<0.06	<0.5
SMRU48	ERR039607	SUSCEPTIBLE	<0.06	<0.5
SMRU49	ERR039608	NON-SUSCEPTIBLE	0,5	0,5
SMRU50	ERR039609	SUSCEPTIBLE	<0.06	<0.5
SMRU51	ERR039610	SUSCEPTIBLE	<0.06	<0.5
SMRU52	ERR039611	SUSCEPTIBLE	<0.06	<0.5
