Isolate_ID	Study	Isolates from (city)	Sequence cluster (prosperi)	Sequence cluster (BAPS)	Penicillin	Trimethoprim	Erythromycin	Co-trimoxazole	Tobramycin	Ciprofloxacin	Ofloxacin
10050_2#1	Zomer	Nijmegen	27	16	0	0	0	0	1	0	1
10050_2#10	Zomer	Nijmegen	32	2	0	0	0	0	1	0	1
10050_2#11	Zomer	Nijmegen	33	8	0	0	0	0	1	0	1
10050_2#12	Zomer	Nijmegen	23	4	0	0	0	0	1	0	0
10050_2#13	Zomer	Nijmegen	8	7	0	0	0	0	1	0	1
10050_2#14	Zomer	Nijmegen	27	16	0	0	0	0	1	1	1
10050_2#15	Zomer	Nijmegen	31	20	0	1	0	1	1	0	1
10050_2#16	Zomer	Nijmegen	23	4	0	0	0	0	1	0	1
10050_2#17	Zomer	Nijmegen	16	10	0	0	0	0	0	0	0
10050_2#18	Zomer	Nijmegen	21	2	0	0	0	0	1	1	1
10050_2#19	Zomer	Nijmegen	6	12	0	0	0	0	1	0	1
10050_2#2	Zomer	Nijmegen	22	5	0	0	0	0	1	0	1
10050_2#20	Zomer	Nijmegen	28	2	0	0	0	0	1	0	0
10050_2#21	Zomer	Nijmegen	17	11	0	0	0	0	1	0	0
10050_2#22	Zomer	Nijmegen	20	3	0	0	0	0	1	0	0
10050_2#23	Zomer	Nijmegen	17	11	0	0	0	0	1	0	1
10050_2#24	Zomer	Nijmegen	32	2	0	0	1	0	1	0	1
10050_2#25	Zomer	Nijmegen	31	20	0	0	0	0	1	1	0
10050_2#26	Zomer	Nijmegen	23	4	0	0	0	0	1	0	1
10050_2#27	Zomer	Nijmegen	22	5	0	0	0	0	1	0	1
10050_2#28	Zomer	Nijmegen	23	4	0	0	0	0	1	0	1
10050_2#29	Zomer	Nijmegen	27	2	0	0	0	0	1	0	0
10050_2#3	Zomer	Nijmegen	17	11	0	0	0	0	1	0	0
10050_2#30	Zomer	Nijmegen	16	10	0	0	0	0	1	0	0
10050_2#31	Zomer	Nijmegen	23	4	0	0	0	0	1	0	0
10050_2#32	Zomer	Nijmegen	22	5	0	0	0	0	1	0	1
10050_2#33	Zomer	Nijmegen	32	2	0	0	0	0	1	0	1
10050_2#34	Zomer	Nijmegen	8	7	0	0	0	0	1	1	1
10050_2#35	Zomer	Nijmegen	16	2	0	0	0	0	1	0	1
10050_2#36	Zomer	Nijmegen	33	8	0	0	0	0	1	0	1
10050_2#37	Zomer	Nijmegen	28	2	0	0	0	0	1	0	1
10050_2#38	Zomer	Nijmegen	33	8	0	0	0	0	1	0	0
10050_2#39	Zomer	Nijmegen	23	4	0	0	0	0	1	0	0
10050_2#4	Zomer	Nijmegen	27	2	0	0	0	0	1	0	0
10050_2#40	Zomer	Nijmegen	17	11	0	0	0	0	1	0	1
10050_2#41	Zomer	Nijmegen	13	2	0	1	0	1	1	1	1
10050_2#42	Zomer	Nijmegen	5	13	0	0	0	0	1	0	0
10050_2#43	Zomer	Nijmegen	23	4	0	0	0	0	1	1	1
10050_2#44	Zomer	Nijmegen	30	2	0	0	0	0	1	0	1
10050_2#45	Zomer	Nijmegen	27	2	0	0	0	0	1	0	1
10050_2#46	Zomer	Nijmegen	16	10	0	1	0	1	1	0	1
10050_2#47	Zomer	Nijmegen	23	4	0	0	0	0	1	0	0
10050_2#48	Zomer	Nijmegen	26	1	0	0	0	0	1	0	1
10050_2#49	Zomer	Nijmegen	16	10	0	0	0	0	1	0	1
10050_2#5	Zomer	Nijmegen	16	10	0	0	0	0	1	0	1
10050_2#50	Zomer	Nijmegen	32	2	0	0	0	0	1	0	0
10050_2#51	Zomer	Nijmegen	16	10	0	0	0	0	1	0	1
10050_2#52	Zomer	Nijmegen	27	16	0	0	0	0	1	0	1
10050_2#53	Zomer	Nijmegen	27	16	0	0	0	0	1	1	1
