isolate_id	ENA_accession_no	dominant_cluster	primary_BAPS	secondary_BAPS	date_of_collection	serotype	sequence_type	B-lactam_susceptibility/MIC(_g/mL)	Co-trim_susceptibility
SMRU2695	ERR064097	BC1-19F	16	106	12-May-10	19F	236	SUSCEPTIBLE	SENSITIVE
SMRU131	ERR047928	BC1-19F	16	106	26-Feb-08	19F	236	NON-SUSCEPTIBLE/2.000	RESISTANT
SMRU494	ERR048171	BC1-19F	16	106	25-Jun-08	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU923	ERR049994	BC1-19F	16	106	23-Oct-08	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU925	ERR049996	BC1-19F	16	106	28-Oct-08	19F	236	NON-SUSCEPTIBLE/0.500	INTERMEDIATE
SMRU984	ERR050055	BC1-19F	16	106	19-Nov-08	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU1007	ERR051577	BC1-19F	16	106	27-Nov-08	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU1060	ERR051606	BC1-19F	16	106	18-Dec-08	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU1064	ERR051610	BC1-19F	16	106	19-Dec-08	19F	236	NON-SUSCEPTIBLE/1.000	SENSITIVE
SMRU1123	ERR051669	BC1-19F	16	106	02-Jan-09	19F	236	NON-SUSCEPTIBLE/1.000	INTERMEDIATE
SMRU1497	ERR054445	BC1-19F	16	106	04-May-09	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU1561	ERR057759	BC1-19F	16	106	22-May-09	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU1661	ERR056807	BC1-19F	16	106	19-Jun-09	19F	236	NON-SUSCEPTIBLE/0.500	INTERMEDIATE
SMRU1754	ERR059982	BC1-19F	16	106	22-Jul-09	19F	236	NON-SUSCEPTIBLE/2.000	RESISTANT
SMRU1774	ERR060002	BC1-19F	16	106	31-Jul-09	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU1810	ERR060014	BC1-19F	16	106	13-Aug-09	19F	236	NON-SUSCEPTIBLE/1.000	INTERMEDIATE
SMRU1837	ERR089628	BC1-19F	16	106	18-Aug-09	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU1839	ERR089630	BC1-19F	16	106	19-Aug-09	19F	236	SUSCEPTIBLE	RESISTANT
SMRU1890	ERR057871	BC1-19F	16	106	05-Sep-09	19F	236	NON-SUSCEPTIBLE/1.000	INTERMEDIATE
SMRU1891	ERR057872	BC1-19F	16	106	04-Sep-09	19F	236	SUSCEPTIBLE	INTERMEDIATE
SMRU1992	ERR057973	BC1-19F	16	106	16-Oct-09	19F	236	NON-SUSCEPTIBLE/1.000	INTERMEDIATE
SMRU2002	ERR057983	BC1-19F	16	106	03-Sep-09	19F	236	NON-SUSCEPTIBLE/1.000	SENSITIVE
SMRU2064	ERR063857	BC1-19F	16	106	12-Sep-09	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU2116	ERR063909	BC1-19F	16	106	16-Nov-09	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU2118	ERR063911	BC1-19F	16	106	16-Nov-09	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU2121	ERR063914	BC1-19F	16	106	18-Nov-09	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU2152	ERR063945	BC1-19F	16	106	06-Oct-09	19F	236	NON-SUSCEPTIBLE/1.000	INTERMEDIATE
SMRU2214	ERR066205	BC1-19F	16	106	10-Dec-09	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU2291	ERR066258	BC1-19F	16	106	05-Jan-10	19F	236	NON-SUSCEPTIBLE/1.000	INTERMEDIATE
SMRU2354	ERR066321	BC1-19F	16	106	21-Jan-10	19F	236	NON-SUSCEPTIBLE/1.000	INTERMEDIATE
SMRU2437	ERR064175	BC1-19F	16	106	18-Feb-10	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU2494	ERR064232	BC1-19F	16	106	05-Mar-10	19F	236	NON-SUSCEPTIBLE/1.000	INTERMEDIATE
SMRU2507	ERR064012	BC1-19F	16	106	12-Mar-10	19F	236	NON-SUSCEPTIBLE/1.000	INTERMEDIATE
SMRU2560	ERR067783	BC1-19F	16	106	15-Feb-10	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU2564	ERR067787	BC1-19F	16	106	08-Mar-10	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU2584	ERR067807	BC1-19F	16	106	04-Apr-10	19F	236	NON-SUSCEPTIBLE/0.500	INTERMEDIATE
SMRU2612	ERR067835	BC1-19F	16	106	13-Apr-10	19F	236	NON-SUSCEPTIBLE/2.000	RESISTANT
SMRU2622	ERR067845	BC1-19F	16	106	16-Apr-10	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU2733	ERR064135	BC1-19F	16	106	19-May-10	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU2760	ERR069610	BC1-19F	16	106	29-Mar-10	19F	236	NON-SUSCEPTIBLE/2.000	SENSITIVE
SMRU2761	ERR069611	BC1-19F	16	106	06-Apr-10	19F	236	NON-SUSCEPTIBLE/0.500	INTERMEDIATE
SMRU2765	ERR069615	BC1-19F	16	106	10-May-10	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU2783	ERR069633	BC1-19F	16	106	04-Jun-10	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU2808	ERR069658	BC1-19F	16	106	12-Jun-10	19F	236	NON-SUSCEPTIBLE/1.000	SENSITIVE
SMRU2828	ERR069678	BC1-19F	16	106	18-Jun-10	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU2882	ERR067913	BC1-19F	16	106	12-Jul-10	19F	236	NON-SUSCEPTIBLE/0.500	INTERMEDIATE
SMRU2913	ERR067944	BC1-19F	16	106	23-Jul-10	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU2935	ERR084161	BC1-19F	16	106	06-Aug-10	19F	236	NON-SUSCEPTIBLE/1.000	INTERMEDIATE
SMRU2948	ERR084174	BC1-19F	16	106	11-Aug-10	19F	236	NON-SUSCEPTIBLE/0.125	INTERMEDIATE
SMRU2965	ERR084191	BC1-19F	16	106	02-Aug-10	19F	236	NON-SUSCEPTIBLE/0.500	INTERMEDIATE
SMRU3025	ERR072174	BC1-19F	16	106	10-Sep-10	19F	236	NON-SUSCEPTIBLE/0.500	INTERMEDIATE
SMRU3026	ERR072175	BC1-19F	16	106	10-Sep-10	19F	236	NON-SUSCEPTIBLE/0.500	SENSITIVE
SMRU3063	ERR072212	BC1-19F	16	106	07-Sep-10	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU3120	ERR084322	BC1-19F	16	106	14-Oct-10	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU3122	ERR084276	BC1-19F	16	106	16-Oct-10	19F	236	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU3125	ERR084279	BC1-19F	16	106	18-Oct-10	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU74	ERR039633	BC1-19F	16	107	04-Feb-08	19F	1583	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU88	ERR039647	BC1-19F	16	107	08-Feb-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU1278	ERR054371	BC1-19F	16	107	23-Feb-09	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU95	ERR039654	BC1-19F	16	107	11-Feb-08	19F	4414	NON-SUSCEPTIBLE/0.064	RESISTANT
SMRU103	ERR047900	BC1-19F	16	107	14-Feb-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU163	ERR049097	BC1-19F	16	107	06-Mar-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU194	ERR050057	BC1-19F	16	107	17-Mar-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU235	ERR049954	BC1-19F	16	107	27-Mar-08	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU259	ERR052596	BC1-19F	16	107	04-Apr-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU260	ERR052597	BC1-19F	16	107	08-Apr-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU363	ERR047992	BC1-19F	16	107	12-May-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU366	ERR047995	BC1-19F	16	107	13-May-08	19F	236	SUSCEPTIBLE	SENSITIVE
SMRU382	ERR048011	BC1-19F	16	107	16-May-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU398	ERR048027	BC1-19F	16	107	21-May-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU484	ERR048161	BC1-19F	16	107	23-Jun-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU529	ERR273480	BC1-19F	16	107	16-May-08	19F	4414	N/A	N/A
SMRU537	ERR273488	BC1-19F	16	107	03-Jul-08	19F	1583	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU540	ERR273491	BC1-19F	16	107	07-Jul-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU552	ERR273503	BC1-19F	16	107	11-Jul-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU576	ERR052649	BC1-19F	16	107	16-Jul-08	19F	236	NON-SUSCEPTIBLE/1.000	SENSITIVE
SMRU582	ERR051416	BC1-19F	16	107	17-Jul-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU601	ERR051435	BC1-19F	16	107	24-Jul-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU628	ERR273507	BC1-19F	16	107	05-Aug-08	19F	4414	NON-SUSCEPTIBLE/2.000	RESISTANT
SMRU642	ERR273521	BC1-19F	16	107	11-Aug-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU646	ERR273525	BC1-19F	16	107	11-Aug-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU648	ERR273527	BC1-19F	16	107	12-Aug-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU665	ERR051475	BC1-19F	16	107	18-Aug-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU666	ERR051476	BC1-19F	16	107	18-Aug-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU673	ERR051483	BC1-19F	16	107	19-Aug-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU683	ERR051493	BC1-19F	16	107	21-Aug-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU704	ERR051514	BC1-19F	16	107	14-Apr-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU705	ERR051515	BC1-19F	16	107	15-May-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU714	ERR051524	BC1-19F	16	107	01-Sep-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU731	ERR051541	BC1-19F	16	107	21-Aug-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU739	ERR051549	BC1-19F	16	107	11-Sep-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU743	ERR051553	BC1-19F	16	107	12-Sep-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU753	ERR052610	BC1-19F	16	107	17-Sep-08	19F	236	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU757	ERR052614	BC1-19F	16	107	20-Sep-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU760	ERR052617	BC1-19F	16	107	22-Sep-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU788	ERR054528	BC1-19F	16	107	28-Aug-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU790	ERR054530	BC1-19F	16	107	29-Aug-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU803	ERR054543	BC1-19F	16	107	06-Oct-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU819	ERR056685	BC1-19F	16	107	09-Oct-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU826	ERR056692	BC1-19F	16	107	13-Oct-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU829	ERR056695	BC1-19F	16	107	19-Sep-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU838	ERR056704	BC1-19F	16	107	13-Oct-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU839	ERR056705	BC1-19F	16	107	12-Oct-08	19F	236	NON-SUSCEPTIBLE/0.500	INTERMEDIATE
SMRU852	ERR056718	BC1-19F	16	107	16-Oct-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU853	ERR056719	BC1-19F	16	107	17-Oct-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU854	ERR056720	BC1-19F	16	107	17-Oct-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU857	ERR056723	BC1-19F	16	107	29-Sep-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU859	ERR056725	BC1-19F	16	107	29-Sep-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU863	ERR056729	BC1-19F	16	107	20-Oct-08	19F	4414	NON-SUSCEPTIBLE/0.500	RESISTANT
SMRU864	ERR056730	BC1-19F	16	107	20-Oct-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU873	ERR054565	BC1-19F	16	107	12-Sep-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU887	ERR054579	BC1-19F	16	107	29-Sep-08	19F	4414	NON-SUSCEPTIBLE/2.000	RESISTANT
SMRU889	ERR049960	BC1-19F	16	107	01-Oct-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU893	ERR049964	BC1-19F	16	107	23-Oct-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU909	ERR049980	BC1-19F	16	107	26-Oct-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
SMRU910	ERR049981	BC1-19F	16	107	26-Oct-08	19F	4414	NON-SUSCEPTIBLE/1.000	RESISTANT
