Encapsulated Streptococcus pneumoniae serotype	ENA accession number
18C	ERR600457
18C	ERR646541
18C	ERR646533
18C	ERR714477
18C	ERR714561
18C	ERR773976
18C	ERR774348
18C	ERR1066295
35B	ERR774045
35B	ERR774142
35B	ERR1065850
35B	ERR1065894
35B	ERR1066252
35B	ERR1066328
35B	ERR1066289
12F	ERR773980
12F	ERR774114
12F	ERR774330
12F	ERR774535
12F	ERR1065797
12F	ERR1065863
12F	ERR1065868
12F	ERR1065902
19A	ERR490718
19A	ERR490719
19A	ERR490735
19A	ERR490736
19A	ERR490751
19A	ERR490757
19A	ERR490760
19A	ERR490779
19A	ERR490797
19A	ERR505914
19A	ERR505928
19A	ERR505940
19A	ERR505897
19A	ERR505953
19A	ERR505959
19A	ERR505977
19A	ERR568443
19A	ERR568453
19A	ERR568461
19A	ERR568466
19A	ERR568514
19A	ERR568578
19A	ERR568638
19A	ERR568643
19A	ERR568658
19A	ERR568666
19A	ERR568672
19A	ERR568700
19A	ERR570422
19A	ERR570444
19A	ERR632880
19A	ERR632891
19A	ERR632912
19A	ERR632922
19A	ERR632932
19A	ERR632933
19A	ERR632960
19A	ERR600327
19A	ERR600317
19A	ERR600374
19A	ERR600430
19A	ERR600468
19A	ERR600511
19A	ERR600542
19A	ERR600554
19A	ERR600579
19A	ERR600603
19A	ERR600618
19A	ERR632980
19A	ERR633024
19A	ERR633034
19A	ERR633045
19A	ERR633085
19A	ERR633100
19A	ERR633117
19A	ERR646549
19A	ERR646551
19A	ERR646565
19A	ERR646581
19A	ERR646613
19A	ERR646615
19A	ERR701797
19A	ERR701816
19A	ERR701859
19A	ERR708300
19A	ERR714479
19A	ERR714449
19A	ERR714586
19A	ERR714672
19A	ERR714689
19A	ERR714638
19A	ERR714699
19A	ERR714703
19A	ERR714722
19A	ERR730550
19A	ERR730563
19A	ERR730581
19A	ERR730629
19A	ERR730675
19A	ERR730681
19A	ERR730685
19A	ERR730704
19A	ERR730721
19A	ERR730672
19A	ERR730814
19A	ERR730816
19A	ERR730817
19A	ERR730853
19A	ERR730871
19A	ERR730887
19A	ERR730892
19A	ERR773861
19A	ERR773899
19A	ERR773909
19A	ERR773927
19A	ERR773932
19A	ERR773964
19A	ERR773977
19A	ERR774055
19A	ERR774102
19A	ERR774158
19A	ERR774179
19A	ERR774248
19A	ERR774300
19A	ERR774343
19A	ERR774522
19A	ERR774534
19A	ERR1065402
19A	ERR1065453
19A	ERR1065820
19A	ERR1066290
19A	ERR1066364
6A	ERR490755
6A	ERR490784
6A	ERR505912
6A	ERR505913
6A	ERR505916
6A	ERR505934
6A	ERR505935
6A	ERR505956
6A	ERR505960
6A	ERR568436
6A	ERR568490
6A	ERR568498
6A	ERR568499
6A	ERR568507
6A	ERR568547
6A	ERR568549
6A	ERR568564
6A	ERR568629
6A	ERR568677
6A	ERR568746
6A	ERR570376
6A	ERR586461
6A	ERR586472
6A	ERR586464
6A	ERR632886
6A	ERR632926
6A	ERR632941
6A	ERR632962
6A	ERR600490
6A	ERR600557
6A	ERR600564
6A	ERR600597
6A	ERR600627
6A	ERR633017
6A	ERR633078
6A	ERR633091
6A	ERR633031
6A	ERR633097
6A	ERR633111
6A	ERR633115
6A	ERR646555
6A	ERR646587
6A	ERR701850
6A	ERR708298
6A	ERR714453
6A	ERR714489
6A	ERR714506
6A	ERR714683
6A	ERR714705
6A	ERR730523
6A	ERR730579
6A	ERR730599
6A	ERR730677
6A	ERR730722
6A	ERR730761
6A	ERR730776
6A	ERR730908
6A	ERR730915
6A	ERR773919
6A	ERR773946
6A	ERR773914
6A	ERR773974
6A	ERR774137
6A	ERR1066299
24F	ERR714525
24F	ERR909131
24F	ERR913509
14	ERR568455
14	ERR568470
14	ERR570415
14	ERR600414
14	ERR646567
14	ERR646584
14	ERR646618
14	ERR701802
14	ERR701822
14	ERR701857
14	ERR714702
14	ERR730582
14	ERR730589
14	ERR730697
14	ERR730706
14	ERR730729
14	ERR730790
14	ERR730855
14	ERR730898
14	ERR730921
14	ERR773863
14	ERR773979
14	ERR774275
23F	ERR490721
23F	ERR490708
23F	ERR505894
23F	ERR505923
23F	ERR505895
23F	ERR505942
23F	ERR505986
23F	ERR568460
23F	ERR568486
23F	ERR568491
23F	ERR568495
23F	ERR568528
23F	ERR568532
23F	ERR568580
23F	ERR568525
23F	ERR568599
23F	ERR568607
23F	ERR568669
23F	ERR568676
23F	ERR568687
23F	ERR568697
23F	ERR568701
23F	ERR568714
23F	ERR568724
23F	ERR570400
23F	ERR632872
23F	ERR632918
23F	ERR632874
23F	ERR600337
23F	ERR600370
23F	ERR600432
23F	ERR600450
23F	ERR600467
23F	ERR600500
23F	ERR600545
23F	ERR600549
23F	ERR600612
23F	ERR632994
23F	ERR633020
23F	ERR633026
23F	ERR633054
23F	ERR633066
23F	ERR633075
23F	ERR633079
23F	ERR633083
23F	ERR646534
23F	ERR646597
23F	ERR646601
23F	ERR646612
23F	ERR646616
23F	ERR701799
23F	ERR701800
23F	ERR701803
23F	ERR714452
23F	ERR714465
23F	ERR714472
23F	ERR714534
23F	ERR714555
23F	ERR714562
23F	ERR714565
23F	ERR714583
23F	ERR714614
23F	ERR714657
23F	ERR730561
23F	ERR730698
