id,accession,Year,Country,Country__colour,Country__shape,Clade,Clade__colour,Continent,Continent__colour,latitude,longitude
8793_8_13,ERS133002,1999,Egypt,#FACBBD,circle,SC2-WA,#E5E52E,Africa,#0000FF,30.0571,31.2272
8728_8_67,ERS133152,2006,Ethiopia,#823D1C,circle,SC2-WA,#E5E52E,Africa,#0000FF,9.01157,38.75933
8728_8_66,ERS133151,2006,Ethiopia,#823D1C,circle,SC4-AS,#2EE5E5,Africa,#0000FF,9.01157,38.75933
7712_7_54,ERS093292,2010,Ghana,#FCE03A,circle,SC2-WA,#E5E52E,Africa,#0000FF,5.54009,-0.20738
7712_7_58,ERS093296,2010,Ghana,#FCE03A,circle,SC2-WA,#E5E52E,Africa,#0000FF,5.54009,-0.20738
7712_7_70,ERS093308,2010,Ghana,#FCE03A,circle,SC2-WA,#E5E52E,Africa,#0000FF,5.54009,-0.20738
8793_8_10,ERS132999,2008,India,#9F9B9C,circle,SC4-AS,#2EE5E5,Asia,#FF0000,20.593684,78.96288
8793_8_8,ERS132997,2008,India,#9F9B9C,circle,SC4-AS,#2EE5E5,Asia,#FF0000,20.593684,78.96288
8793_8_9,ERS132998,2008,India,#9F9B9C,circle,SC4-AS,#2EE5E5,Asia,#FF0000,20.593684,78.96288
8728_8_30,ERS133115,2007,India,#9F9B9C,circle,SC5-AS,#2E2EE5,Asia,#FF0000,20.593684,78.96288
11250_1_23,ERS353645,2006,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_7_1,ERS005602,2005,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_7_10,ERS005614,2006,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_7_11,ERS005615,2004,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_7_2,ERS005600,2007,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_7_5,ERS005610,2008,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_7_6,ERS005611,2004,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_7_8,ERS005613,2004,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_7_9,ERS005617,2009,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_8_1,ERS005616,2009,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_8_10,ERS005625,2008,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_8_11,ERS005628,2007,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_8_12,ERS005638,2007,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_8_3,ERS005621,2008,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4525_8_8,ERS005623,2007,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4752_1_10,ERS005594,2005,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4752_1_11,ERS005601,2004,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4752_1_12,ERS005599,2005,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4752_1_2,ERS005589,2008,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4752_1_6,ERS005596,2005,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4752_1_8,ERS005598,2006,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4752_1_9,ERS005597,2006,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4880_1_1,ERS005626,2004,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4880_1_10,ERS005635,2005,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4880_1_5,ERS005633,2006,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4880_1_7,ERS005632,2005,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4880_1_8,ERS005637,2008,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
4880_1_9,ERS005634,2008,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_37,ERS194329,1997,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_40,ERS194332,2003,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_41,ERS194333,2010,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_42,ERS194334,2000,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_44,ERS194336,2001,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_45,ERS194337,1998,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_48,ERS194340,1998,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_49,ERS194341,2000,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_51,ERS194343,2003,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_52,ERS194344,1999,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_56,ERS194348,1998,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_59,ERS194351,1999,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_60,ERS194352,2001,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_67,ERS194359,2011,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_68,ERS194360,1999,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_69,ERS194361,2011,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_70,ERS194362,2011,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_71,ERS194363,2002,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_72,ERS194364,1999,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_75,ERS194367,1999,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
9517_3_76,ERS194368,1999,Malawi,#DC1F26,circle,SC3-SEA,#5FBA46,Africa,#0000FF,-13.9899,33.77032
