SNP position	P	Odds ratio	gene	product
1383510	8.87E-31	0.288532	-	SpoU rRNA methylase family protein
1383582	2.69E-30	0.301191	-	SpoU rRNA methylase family protein
301254	1.36E-25	0.04190807	dexB	glucan 1,6-alpha-glucosidase
391735	4.58E-25	0.06403929	gatB	aspartyl/glutamyl-tRNA amidotransferase subunit B
906406	1.33E-23	0.07086337	hemH	ferrochelatase
986650	1.33E-23	0.06301565	intergenic	n/a
1741683	3.01E-23	4.249245	-	oligopeptidase
903474	3.19E-23	0.06844874	intergenic	n/a
987093	4.43E-23	0.3239307	-	hypothetical protein
885514	5.75E-23	0.1127018	-	ADP-ribose pyrophosphatase
885609	6.69E-23	0.1108298	-	ADP-ribose pyrophosphatase
1043673	2.05E-22	0.1127018	acoC	dihydrolipoamide acetyltransferase
1043854	2.05E-22	0.1146313	acoC	dihydrolipoamide acetyltransferase
1800425	1.73E-21	3.025571	-	DegT/DnrJ/EryC1/StrS family amino sugar synthetase
209442	2.08E-21	0.5540516	-	inner membrane component of ABC transporter
1421187	3.44E-21	0.06407149	-	hypothetical protein
669935	5.72E-21	1.888402	-	endonuclease/exonuclease/phosphatase family protein
1985497	7.88E-21	0.7472306	intergenic	n/a
1421096	3.33E-20	0.05865691	-	hypothetical protein
222466	4.32E-20	0.1438993	intergenic	n/a
1378814	9.60E-20	0.02784566	-	hypothetical protein
905075	1.17E-19	0.3498478	pepT	peptidase T
2034739	1.38E-19	0.2745223	gltX	glutamyl-tRNA synthetase
1351205	3.46E-19	0.02624697	intergenic	n/a
1358267	4.61E-19	0.02784566	intergenic	n/a
894301	4.64E-19	1.087375	-	amino acid permease
711000	9.87E-19	0.414864	ciaH	sensor histidine kinase
508321	1.48E-18	0.8366926	intergenic	n/a
1782925	1.66E-18	6.07826	trpE	anthranilate synthase component I
512482	1.72E-18	2.729012	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
1346844	2.20E-18	0.02901391	ptsK	HPr kinase/phosphorylase
1351282	2.20E-18	0.02729338	intergenic	n/a
1402932	5.44E-18	2.924786	-	hypothetical protein
2058103	5.51E-18	2.455201	hasC	UTP-glucose-1-phosphate uridylyltransferase
1145514	5.57E-18	3.323951	carB	carbamoyl phosphate synthase large subunit
915392	5.72E-18	0.4751501	-	methyltransferase
132921	6.40E-18	1.667614	intergenic	n/a
511592	7.76E-18	Inf	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
2198680	7.76E-18	Inf	-	cobalt transport protein
174038	7.76E-18	Inf	-	CorA-like Mg2+ transporter protein
1006760	7.76E-18	Inf	glgC	glucose-1-phosphate adenylyltransferase
1412486	7.76E-18	Inf	gla	glycerol facilitator-aquaporin
1435884	7.76E-18	Inf	-	GNAT family acetyltransferase
1657300	7.76E-18	Inf	-	GntR family transcriptional regulator
1537114	7.76E-18	Inf	metA	homoserine O-succinyltransferase
1390122	7.76E-18	Inf	-	pyridoxal biosynthesis lyase PdxS
1045075	7.76E-18	Inf	pdhB	pyruvate dehydrogenase E1 component,beta subunit
423888	7.76E-18	Inf	intergenic	n/a
211807	9.17E-18	1.765712	intergenic	n/a
1043953	9.61E-18	0.3902973	acoC	dihydrolipoamide acetyltransferase
663951	1.32E-17	1.575934	-	hypothetical protein
2075093	2.06E-17	8.171096	malQ	4-alpha-glucanotransferase
327454	2.08E-17	0.08994537	-	cell wall surface anchored protein
1985521	2.08E-17	0.9615424	licC	PTS system, lichenan-specific IIc component
2197296	2.13E-17	Inf	-	hypothetical protein
2064940	2.13E-17	Inf	pbp1B	penicillin-binding protein 1B
500589	2.14E-17	6.899289	-	beta-glucoside-specific phosphotransferase system (PTS), IIABC component
503508	2.56E-17	4.002653	-	6-phospho-beta-glucosidase
450731	2.64E-17	3.161736	-	type I restriction-modification system M protein
1166664	2.87E-17	0.01905272	rpmE2	50S ribosomal protein L31 type B
1165989	2.87E-17	0.01905272	-	hypothetical protein
2038097	3.06E-17	0.08394175	-	ABC transporter ATP-binding protein
2036853	3.06E-17	0.08394175	pgi	glucose-6-phosphate isomerase
2036536	3.06E-17	0.08394175	pgi	glucose-6-phosphate isomerase
634440	3.08E-17	0.8115147	thiM	hydroxyethylthiazole kinase
