Serotype 	Sequence type	ENA/Genbank accession number			
19A	ST-2062	ERR490718			
4	ST-1221	ERR490740			
35B	ST-9813	ERR490742			
18C	ST-1016	ERR490746			
19F	ST-271	ERR490749			
23F	ST-353	ERR568460			
12F	ST-2416	ERR568565			
12F	ST-989	ERR568572			
13	ST-5647	ERR568640			
31	ST-3548	ERR568674			
9N	ST-66	ERR570428			
18A	ST-1232	ERR632904			
23A	ST-2319	ERR600334			
11A	ST-8817	ERR600395			
21	ST-193	ERR600402			
28	ST-494	ERR600446			
15B	ST-5808	ERR600448			
6A	ST-8690	ERR600518			
20	ST-8824	ERR600540			
1	ST-217	ERR600580			
25A	ST-105	ERR646610			
33	ST-445	ERR701804			
25F	ST-5604	ERR714714			
17F	ST-8835	ERR730770			
8	ST-53	ERR773858			
5	ST-5659	ERR773933			
38	ST-393	ERR773959			
8	ST-3847	ERR773978			
7F	ST-218	ERR774166			
14	ST-230	ERR774536			
29	ST-5483	ERR774552			
6A	ST-2285	ERR908907			
24F	ST-5077	ERR909131			
10B	ST-7055	ERR909157			
15A	ST-7067	ERR909213			
16F	ST-5072	ERR909284			
9V	ST-4881	ERR913060			
23B	ST-7687	ERR913484			
14	ST-2652	ERR913548			
37	ST-447	ERR925131			
3	ST-9519	ERR925350			
7C	ST-7053	ERR925258			
NT	ST-344	CP007593			
NT	ST-1106	ASJP00000000			
NT	ST-8966	ASJW00000000			
NT	ST-2315	ASJF00000000			
NT	ST-6153	ASJQ00000000			
NT	ST-448	ASJO00000000			
