Isolat_ name	STATE	PEN	CAL_YR	Serotype (Quellung)	23B1(pneumoCaT)	ST	aroE	gdh	gki	recP	spi	xpt	ddl	BAPS_cluster	n contigs	n_100	n_N50	min	median	mean	N50	max	sum	Isolat_ name	ENA_accession
20459y09	OR	0.25	2009	23a		11585	7	13	8	2	1	6	8	1	170	166	13	107	751	12855	55063	167700	2134028	20459y09	ERS1139794
20649Y09	CT	0.25	2009	23a		338	7	13	8	6	1	6	8	1	298	286	12	101	246	7414	56142	162814	2120420	20649Y09	ERS1139802
20831y09	TN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	150	148	12	101	1139	14158	55026	162796	2095405	20831y09	ERS1139810
20958Y09	MD	0.25	2009	23a		338	7	13	8	6	1	6	8	1	211	207	10	102	285	10214	65351	162811	2114331	20958Y09	ERS1139814
21045y09	NY	0.25	2009	23a		7935	7	15	8	6	1	6	8	1	164	160	10	101	490	13208	57902	215202	2113316	21045y09	ERS1139819
21063Y09	OR	0.25	2009	23a		338	7	13	8	6	1	6	8	1	145	140	12	101	1199	15232	55560	214825	2132496	21063Y09	ERS1139820
21077y09	OR	0.12	2009	23a		338	7	13	8	6	1	6	8	1	162	157	11	104	428	13380	62378	214567	2100697	21077y09	ERS1139821
21160Y09	MD	0.25	2009	23a		338	7	13	8	6	1	6	8	1	167	158	11	101	868	13011	58315	215404	2055887	21160Y09	ERS1139826
21232y09	NY	0.25	2009	23a		338	7	13	8	6	1	6	8	1	156	146	11	100	899	14395	62748	214826	2101768	21232y09	ERS1139832
21233y09	NY	0.25	2009	23a		338	7	13	8	6	1	6	8	1	158	148	10	101	623	14180	60859	214825	2098684	21233y09	ERS1139833
21305Y09	NM	0.25	2009	23a		338	7	13	8	6	1	6	8	1	151	144	11	101	873	14314	62476	127714	2061264	21305Y09	ERS1139839
21313Y09	NM	0.25	2009	23a		338	7	13	8	6	1	6	8	1	135	130	11	101	1175	16107	60876	214412	2094012	21313Y09	ERS1139840
21340Y09	TN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	149	139	11	101	1199	15337	55087	220246	2131941	21340Y09	ERS1139842
21359Y09	TN	0.12	2009	23a		338	7	13	8	6	1	6	8	1	204	199	13	101	358	10373	46249	158444	2064387	21359Y09	ERS1139843
21604y09	NM	0.25	2009	23a		338	7	13	8	6	1	6	8	1	162	155	10	101	681	13516	61340	215190	2095016	21604y09	ERS1139857
21705y09	CT	0.25	2009	23a		338	7	13	8	6	1	6	8	1	149	149	12	101	738	13757	56613	158377	2049845	21705y09	ERS1139864
21718y09	CT	0.25	2009	23a		338	7	13	8	6	1	6	8	1	152	145	12	104	1146	14449	59031	162808	2095146	21718y09	ERS1139865
21724y09	CT	0.25	2009	23a		338	7	13	8	6	1	6	8	1	276	266	12	100	247	7950	55055	157710	2114856	21724y09	ERS1139866
21731y09	CT	0.25	2009	23a		338	7	13	8	6	1	6	8	1	149	149	11	107	738	14078	59890	215196	2097697	21731y09	ERS1139867
21781Y09	MD	0.12	2009	23a		338	7	13	8	6	1	6	8	1	165	159	12	101	681	13224	55559	220471	2102632	21781Y09	ERS1139872
21878y09	CO	0.25	2009	23a		338	7	13	8	6	1	6	8	1	152	147	11	101	1021	14239	61340	213363	2093193	21878y09	ERS1139879
22006y09	TN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	162	155	12	101	867	13271	55191	214612	2057076	22006y09	ERS1139887
22143Y09	CO	0.25	2009	23a		338	7	13	8	6	1	6	8	1	174	163	14	100	555	12614	55104	158444	2056215	22143Y09	ERS1139895
22144Y09	CO	0.25	2009	23a		338	7	13	8	6	1	6	8	1	187	173	14	101	534	11901	44985	158444	2058884	22144Y09	ERS1139896
22164y09	CO	0.12	2009	23a		338	7	13	8	6	1	6	8	1	154	149	11	107	920	14057	57949	215401	2094612	22164y09	ERS1139898
22172y09	CO	0.5	2009	15a		338	7	13	8	6	1	6	8	1	154	145	11	101	1146	14394	57903	169696	2087178	22172y09	ERS1139899
22333y09	MD	0.25	2009	23a		338	7	13	8	6	1	6	8	1	321	318	10	101	267	6746	69179	214573	2145341	22333y09	ERS1139911
22501y09	NY	0.25	2009	23a		338	7	13	8	6	1	6	8	1	206	204	13	106	377	10387	61593	126758	2119115	22501y09	ERS1139918
22569y09	NY	0.25	2009	23a		7935	7	15	8	6	1	6	8	1	189	178	10	101	344	11849	65205	215010	2109155	22569y09	ERS1139920
22600y09	CO	0.25	2009	23a		338	7	13	8	6	1	6	8	1	145	141	11	104	742	15163	62532	215280	2138077	22600y09	ERS1139923
22646y09	NM	0.25	2009	23a		338	7	13	8	6	1	6	8	1	350	327	14	103	243	6463	47057	158709	2113581	22646y09	ERS1139925
22700y09	NY	0.25	2009	23a		338	7	13	8	6	1	6	8	1	148	145	11	105	1056	14410	63172	214988	2089562	22700y09	ERS1139930
22740y09	OR	0.25	2009	23a		338	7	13	8	6	1	6	8	1	182	172	12	101	738	11910	55087	186999	2048554	22740y09	ERS1139932
22758y09	CT	0.25	2009	23a		338	7	13	8	6	1	6	8	1	137	131	10	101	944	15959	65084	215053	2090740	22758y09	ERS1139933
22811y09	CT	0.25	2009	23a		338	7	13	8	6	1	6	8	1	251	245	29	102	2831	8635	22967	103036	2115719	22811y09	ERS1139935
22818y09	CT	0.25	2009	23a		338	7	13	8	6	1	6	8	1	119	116	9	101	1137	17755	62101	215190	2059598	22818y09	ERS1139936
22908y09	TN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	150	135	11	100	1231	15272	59681	214573	2061775	22908y09	ERS1139941
22923y09	TN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	138	134	11	101	1008	15352	62155	162793	2057170	22923y09	ERS1139942
22952y09	TN	0.25	2009	23a		338	7	13	8	6	1	6	8	1	161	151	10	101	787	13901	62693	215193	2099067	22952y09	ERS1139944
23146y09	MD	0.25	2009	23a		338	7	13	8	6	1	6	8	1	167	162	10	101	420	12968	65190	162958	2100883	23146y09	ERS1139953
23194y09	TN	0.25	2009	23a		2919	7	13	6	6	1	6	8	1	357	336	14	101	269	6443	40638	122149	2165061	23194y09	ERS1139954
23558y09	CT	0.12	2009	23a		338	7	13	8	6	1	6	8	1	180	176	10	100	442	11704	57904	214612	2059944	23558y09	ERS1139960
23625y09	CO	0.25	2009	23a		338	7	13	8	6	1	6	8	1	147	141	11	110	677	14978	62773	219896	2111944	23625y09	ERS1139962
24043y09	CT	0.25	2009	23a		338	7	13	8	6	1	6	8	1	158	150	10	101	623	13990	65236	214908	2098579	24043y09	ERS1139964
27805Y12	CO	0.5	2012	23a		338	7	13	8	6	1	6	8	1	264	219	16	105	959	9555	33444	107693	2092623	27805Y12	ERS1139965
27895Y12	NY	0.25	2012	23a		338	7	13	8	6	1	6	8	1	146	137	12	105	2053	15323	55104	162894	2099318	27895Y12	ERS1139969
